Order , Fea , Name , Score
1,3,cons_3,0.147
2,185,tri_67,0.103
3,190,A-to-I_density,0.026
4,2,cons_2,0.049
5,120,tri_2,0.045
6,12,cons_12,0.015
7,72,graph_60,0.022
8,32,graph_20,0.01
9,118,SNP,0.012
10,33,graph_21,0.015
11,5,cons_5,0.02
12,90,graph_78,0.01
13,47,graph_35,0.005
14,40,graph_28,0.001
15,175,tri_57,-0.001
16,73,graph_61,-0.002
17,116,ORF,-0.003
18,100,graph_88,-0.004
19,18,graph_6,-0.005
20,11,cons_11,-0.001
21,86,graph_74,-0.002
22,20,graph_8,-0.004
23,165,tri_47,-0.005
24,77,graph_65,-0.007
25,45,graph_33,-0.01
26,189,A-to-I,-0.011
27,178,tri_60,-0.01
28,93,graph_81,-0.012
29,151,tri_33,-0.013
30,9,cons_9,-0.01
31,57,graph_45,-0.013
32,186,tri_68,-0.013
33,23,graph_11,-0.013
34,123,tri_5,-0.013
35,49,graph_37,-0.015
36,104,graph_92,-0.015
37,89,graph_77,-0.015
38,46,graph_34,-0.016
39,1,cons_1,-0.015
40,82,graph_70,-0.015
41,21,graph_9,-0.018
42,183,tri_65,-0.018
43,91,graph_79,-0.018
44,7,cons_7,-0.017
45,135,tri_17,-0.019
46,105,graph_93,-0.019
47,85,graph_73,-0.019
48,58,graph_46,-0.021
49,191,IRES,-0.02
50,101,graph_89,-0.022
51,99,graph_87,-0.023
52,102,graph_90,-0.022
53,8,cons_8,-0.022
54,54,graph_42,-0.022
55,66,graph_54,-0.023
56,121,tri_3,-0.023
57,35,graph_23,-0.023
58,166,tri_48,-0.023
59,42,graph_30,-0.024
60,48,graph_36,-0.024
61,63,graph_51,-0.025
62,67,graph_55,-0.025
63,34,graph_22,-0.027
64,10,cons_10,-0.027
65,147,tri_29,-0.027
66,38,graph_26,-0.027
67,16,graph_4,-0.028
68,162,tri_44,-0.028
69,27,graph_15,-0.029
70,127,tri_9,-0.029
71,14,graph_2,-0.029
72,78,graph_66,-0.029
73,87,graph_75,-0.03
74,6,cons_6,-0.03
75,75,graph_63,-0.03
76,43,graph_31,-0.03
77,53,graph_41,-0.031
78,184,tri_66,-0.031
79,95,graph_83,-0.031
80,64,graph_52,-0.031
81,68,graph_56,-0.032
82,59,graph_47,-0.032
83,76,graph_64,-0.032
84,71,graph_59,-0.033
85,181,tri_63,-0.032
86,110,graph_98,-0.033
87,4,cons_4,-0.033
88,41,graph_29,-0.033
89,81,graph_69,-0.033
90,19,graph_7,-0.034
91,177,tri_59,-0.035
92,94,graph_82,-0.035
93,174,tri_56,-0.035
94,69,graph_57,-0.035
95,113,graph_101,-0.036
96,126,tri_8,-0.037
97,28,graph_16,-0.037
98,62,graph_50,-0.037
99,176,tri_58,-0.038
100,103,graph_91,-0.037
101,130,tri_12,-0.038
102,52,graph_40,-0.039
103,50,graph_38,-0.04
104,146,tri_28,-0.04
105,56,graph_44,-0.041
106,24,graph_12,-0.042
107,13,graph_1,-0.043
108,109,graph_97,-0.045
109,150,tri_32,-0.046
110,44,graph_32,-0.046
111,108,graph_96,-0.046
112,114,ALU,-0.047
113,106,graph_94,-0.047
114,15,graph_3,-0.047
115,168,tri_50,-0.049
116,39,graph_27,-0.049
117,37,graph_25,-0.049
118,92,graph_80,-0.052
119,149,tri_31,-0.052
120,74,graph_62,-0.052
121,180,tri_62,-0.053
122,158,tri_40,-0.054
123,136,tri_18,-0.055
124,17,graph_5,-0.056
125,132,tri_14,-0.056
126,61,graph_49,-0.057
127,26,graph_14,-0.057
128,115,Repeat,-0.057
129,171,tri_53,-0.06
130,169,tri_51,-0.061
131,25,graph_13,-0.061
132,22,graph_10,-0.062
133,137,tri_19,-0.063
134,117,ORF_prop,-0.064
135,163,tri_45,-0.065
136,29,graph_17,-0.065
137,148,tri_30,-0.066
138,125,tri_7,-0.068
139,84,graph_72,-0.07
140,107,graph_95,-0.071
141,112,graph_100,-0.072
142,128,tri_10,-0.072
143,139,tri_21,-0.073
144,36,graph_24,-0.076
145,129,tri_11,-0.077
146,111,graph_99,-0.077
147,88,graph_76,-0.079
148,173,tri_55,-0.081
149,153,tri_35,-0.082
150,142,tri_24,-0.083
151,55,graph_43,-0.085
152,155,tri_37,-0.085
153,31,graph_19,-0.088
154,188,tri_70,-0.089
155,124,tri_6,-0.089
156,164,tri_46,-0.091
157,133,tri_15,-0.093
158,157,tri_39,-0.096
159,83,graph_71,-0.097
160,97,graph_85,-0.1
161,144,tri_26,-0.101
162,119,tri_1,-0.104
163,159,tri_41,-0.105
164,65,graph_53,-0.106
165,143,tri_25,-0.109
166,154,tri_36,-0.112
167,138,tri_20,-0.114
168,98,graph_86,-0.115
169,30,graph_18,-0.117
170,70,graph_58,-0.118
171,156,tri_38,-0.119
172,152,tri_34,-0.12
173,172,tri_54,-0.121
174,160,tri_42,-0.126
175,79,graph_67,-0.128
176,96,graph_84,-0.134
177,80,graph_68,-0.135
178,60,graph_48,-0.139
179,51,graph_39,-0.144
180,182,tri_64,-0.153
181,161,tri_43,-0.155
182,141,tri_23,-0.162
183,140,tri_22,-0.166
184,167,tri_49,-0.169
185,145,tri_27,-0.173
186,122,tri_4,-0.177
187,131,tri_13,-0.183
188,134,tri_16,-0.189
189,170,tri_52,-0.197
190,179,tri_61,-0.202
191,187,tri_69,-0.225
